date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:23	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-3f106da40eb297f2;gz%22	https://m100.ditsolution.net/robots.txt		(from )
13:47:24	77568/77568	---M-Z	200	added ('OK')	text/html	etag:%2212f00-65426c1a-78e7c6a54e083d97;gz%22	https://m100.ditsolution.net/html/cat-shop/	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/index.html	(from )
13:47:24	2152/2152	---M--	200	added ('OK')	image/png	etag:%22868-65426c23-f96f462c176d6327;;;%22	https://m100.ditsolution.net/html/cat-shop/assets/images/favicon/fav-icon.png	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/images/favicon/fav-icon.png	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:27	233004/233004	---M-Z	200	added ('OK')	text/css	etag:%2238e2c-65426c23-ca8ff7dd54f10123;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/bootstrap.min.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/bootstrap.min.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:27	71930/71930	---M-Z	200	added ('OK')	text/css	etag:%22118fa-65426c23-ba4b936c3b7d8855;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/animate.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/animate.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:28	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-65426c23-fb58bd08e558c2f8;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/all.min.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/all.min.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:28	7226/7226	---M-Z	200	added ('OK')	text/css	etag:%221c3a-65426c23-549a40b23a31c2aa;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/flaticon.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/flaticon.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:28	147173/147173	---M-Z	200	added ('OK')	text/css	etag:%2294959608f4a78b4d57a5932fe9328809%22	https://cdn-uicons.flaticon.com/uicons-solid-straight/css/uicons-solid-straight.css	C:/Users/ORANGE/Desktop/hihi/cdn-uicons.flaticon.com/uicons-solid-straight/css/uicons-solid-straight.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:29	5032/5032	---M-Z	200	added ('OK')	text/css	etag:%2213a8-65426c23-fbde72b23e2d2b29;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/custom-default.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/custom-default.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:29	4176/4176	---M-Z	200	added ('OK')	text/css	etag:%221050-65426c23-f6e7ec9ca4964045;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/meanmenu.min.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/meanmenu.min.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:29	28125/28125	---M-Z	200	added ('OK')	text/css	etag:%226ddd-65426c23-537173b473127875;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/animated-text.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/animated-text.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:29	7604/7604	---M-Z	200	added ('OK')	text/css	etag:%221db4-65426c1b-49a7ac5d6e466cd;gz%22	https://m100.ditsolution.net/html/cat-shop/venobox/venobox.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/venobox/venobox.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:30	1893/1893	---M-Z	200	added ('OK')	text/css	etag:%22765-65426c23-34eec92d6be3dfc0;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/slick.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/slick.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:32	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-65426c23-e1fd124c87dcb2cb;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/bootstrap-icons.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/bootstrap-icons.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:32	21988/21988	---M-Z	200	added ('OK')	text/css	etag:%2255e4-65426c23-b602961a072b9684;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/responsive.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/responsive.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:36	1694/1694	---M--	200	added ('OK')	image/png	etag:%2269e-65426c20-7d726d0d8d20fc82;;;%22	https://m100.ditsolution.net/html/cat-shop/assets/images/main-thumb/cat-logo.png	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/images/main-thumb/cat-logo.png	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:36	150428/150428	---M-Z	200	added ('OK')	text/css	etag:%2224b9c-65426c24-638d9c425fa81098;gz%22	https://m100.ditsolution.net/html/cat-shop/assets/css/style.css	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/assets/css/style.css	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:38	77568/77568	---M-Z	200	added ('OK')	text/html	etag:%2212f00-65426c1a-78e7c6a54e083d97;gz%22	https://m100.ditsolution.net/html/cat-shop/index.html	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/index-2.html	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:39	58279/58279	---M-Z	200	added ('OK')	text/html	etag:%22e3a7-65426c1a-9c9245cd845900e9;gz%22	https://m100.ditsolution.net/html/cat-shop/index2.html	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/index2.html	(from https://m100.ditsolution.net/html/cat-shop/)
13:47:39	47782/47782	---M-Z	200	added ('OK')	text/html	etag:%22baa6-65426c1b-8048e74cfc7d8878;gz%22	https://m100.ditsolution.net/html/cat-shop/shop.html	C:/Users/ORANGE/Desktop/hihi/m100.ditsolution.net/html/cat-shop/shop.html	(from https://m100.ditsolution.net/html/cat-shop/)
